"src","dest","direction"
"15","7534","undirected"
"31","57016","undirected"
"31","5563","undirected"
"60","71","undirected"
"60","867","undirected"
"60","4609","undirected"
"60","653361","undirected"
"60","5216","undirected"
"60","9051","undirected"
"60","5880","undirected"
"60","8607","undirected"
"71","999","undirected"
"71","1500","undirected"
"71","5217","undirected"
"71","8607","undirected"
"71","6487","undirected"
"90","91","undirected"
"90","655","undirected"
"90","659","undirected"
"90","2339","undirected"
"90","4086","undirected"
"90","4090","undirected"
"90","7048","undirected"
"91","92","undirected"
"91","93","undirected"
"91","659","undirected"
"91","3624","undirected"
"91","3625","undirected"
"91","4087","undirected"
"91","4088","undirected"
"91","4092","undirected"
"91","57154","undirected"
"92","654","undirected"
"92","655","undirected"
"92","3624","undirected"
"92","3625","undirected"
"92","9863","undirected"
"93","654","undirected"
"93","655","undirected"
"93","3624","undirected"
"93","3625","undirected"
"100","134","undirected"
"100","135","undirected"
"100","1812","undirected"
"102","1943","undirected"
"102","2885","undirected"
"6868","1739","undirected"
"6868","5594","undirected"
"108","111","undirected"
"111","2770","undirected"
"128","7157","undirected"
"128","7161","undirected"
"134","1812","undirected"
"134","2771","undirected"
"134","2911","undirected"
"134","5028","undirected"
"135","1813","undirected"
"153","408","undirected"
"153","1742","undirected"
"154","2885","undirected"
"154","2870","undirected"
"154","3760","undirected"
"154","3762","undirected"
"154","4193","undirected"
"154","4985","undirected"
"154","5530","undirected"
"174","1234","undirected"
"178","5563","undirected"
"178","5565","undirected"
"185","624","undirected"
"185","2869","undirected"
"185","5868","undirected"
"191","7161","undirected"
"10768","3708","undirected"
"26289","7358","undirected"
"207","572","undirected"
"207","673","undirected"
"207","11140","undirected"
"207","1027","undirected"
"207","1147","undirected"
"207","1387","undirected"
"207","2308","undirected"
"207","9846","undirected"
"207","2931","undirected"
"207","2932","undirected"
"207","8841","undirected"
"207","3320","undirected"
"207","3315","undirected"
"207","3551","undirected"
"207","3667","undirected"
"207","6416","undirected"
"207","4296","undirected"
"207","9479","undirected"
"207","9261","undirected"
"207","4193","undirected"
"207","9612","undirected"
"207","4771","undirected"
"207","4851","undirected"
"207","3164","undirected"
"207","5058","undirected"
"207","56924","undirected"
"207","5170","undirected"
"207","8554","undirected"
"207","9063","undirected"
"207","5894","undirected"
"207","6198","undirected"
"207","4087","undirected"
"207","4088","undirected"
"207","4089","undirected"
"207","4092","undirected"
"207","9623","undirected"
"207","117145","undirected"
"207","7248","undirected"
"207","7249","undirected"
"207","7534","undirected"
"208","1147","undirected"
"208","2932","undirected"
"208","9623","undirected"
"226","529","undirected"
"226","1956","undirected"
"226","5338","undirected"
"230","529","undirected"
"239","3691","undirected"
"284","7010","undirected"
"285","7010","undirected"
"51378","7010","undirected"
"317","841","undirected"
"317","54205","undirected"
"317","3320","undirected"
"317","22861","undirected"
"324","8313","undirected"
"324","1387","undirected"
"324","1452","undirected"
"324","1457","undirected"
"324","1487","undirected"
"324","1495","undirected"
"324","2932","undirected"
"324","3909","undirected"
"324","5525","undirected"
"324","2810","undirected"
"324","6477","undirected"
"10297","8313","undirected"
"10297","999","undirected"
"353","7428","undirected"
"374","1956","undirected"
"375","1131","undirected"
"375","4988","undirected"
"375","5337","undirected"
"375","5338","undirected"
"375","5898","undirected"
"382","408","undirected"
"382","409","undirected"
"382","1131","undirected"
"382","1956","undirected"
"382","2618","undirected"
"382","23396","undirected"
"382","5337","undirected"
"382","5898","undirected"
"396","637","undirected"
"396","843","undirected"
"396","841","undirected"
"396","1027","undirected"
"396","356","undirected"
"396","5599","undirected"
"396","5880","undirected"
"396","387","undirected"
"396","7132","undirected"
"397","8452","undirected"
"397","5880","undirected"
"397","7409","undirected"
"405","3091","undirected"
"405","3320","undirected"
"405","10499","undirected"
"405","10728","undirected"
"405","6667","undirected"
"408","409","undirected"
"408","1234","undirected"
"408","1445","undirected"
"408","1457","undirected"
"408","1856","undirected"
"408","27232","undirected"
"408","83737","undirected"
"408","3716","undirected"
"408","3725","undirected"
"408","3795","undirected"
"408","5602","undirected"
"408","4193","undirected"
"408","4985","undirected"
"409","83737","undirected"
"409","6416","undirected"
"409","5594","undirected"
"409","5602","undirected"
"409","5595","undirected"
"409","4193","undirected"
"409","4985","undirected"
"409","5724","undirected"
"409","5878","undirected"
"435","5859","undirected"
"440","51422","undirected"
"1386","472","undirected"
"1386","1387","undirected"
"1386","1457","undirected"
"1386","1459","undirected"
"1386","2353","undirected"
"1386","3725","undirected"
"1386","5594","undirected"
"1386","5599","undirected"
"1386","4088","undirected"
"1386","4089","undirected"
"468","1387","undirected"
"468","9568","undirected"
"468","3725","undirected"
"468","5970","undirected"
"9140","9474","undirected"
"9140","5747","undirected"
"472","545","undirected"
"472","1111","undirected"
"472","1385","undirected"
"472","1978","undirected"
"472","2309","undirected"
"472","5469","undirected"
"472","5805","undirected"
"472","6009","undirected"
"472","50484","undirected"
"472","6720","undirected"
"472","9894","undirected"
"472","7157","undirected"
"472","7428","undirected"
"481","5348","undirected"
"491","1739","undirected"
"491","1740","undirected"
"493","1739","undirected"
"493","1740","undirected"
"545","1111","undirected"
"545","3066","undirected"
"545","5290","undirected"
"545","5424","undirected"
"545","5520","undirected"
"545","5805","undirected"
"545","6009","undirected"
"545","9894","undirected"
"545","7157","undirected"
"552","2869","undirected"
"552","5578","undirected"
"553","5578","undirected"
"8313","2932","undirected"
"64343","4953","undirected"
"572","596","undirected"
"572","597","undirected"
"572","4170","undirected"
"572","5566","undirected"
"572","5584","undirected"
"572","9252","undirected"
"572","2810","undirected"
"572","7531","undirected"
"572","7532","undirected"
"572","10971","undirected"
"572","7534","undirected"
"9530","3320","undirected"
"9530","3312","undirected"
"9530","7132","undirected"
"581","596","undirected"
"581","597","undirected"
"581","4170","undirected"
"581","5366","undirected"
"581","291","undirected"
"581","7416","undirected"
"581","10971","undirected"
"27113","596","undirected"
"27113","4170","undirected"
"596","10018","undirected"
"596","637","undirected"
"596","664","undirected"
"596","836","undirected"
"596","841","undirected"
