"base_gene_src","base_id_src","base_gene_dest","base_id_dest"
919,"ENTREZID",1152,"ENTREZID"
1118,"ENTREZID",2346,"ENTREZID"
1056,"ENTREZID",2548,"ENTREZID"
1786,"ENTREZID",1846,"ENTREZID"
396,"ENTREZID",901,"ENTREZID"
249,"ENTREZID",408,"ENTREZID"
487,"ENTREZID",955,"ENTREZID"
222,"ENTREZID",1019,"ENTREZID"
526,"ENTREZID",815,"ENTREZID"
941,"ENTREZID",1293,"ENTREZID"
810,"ENTREZID",1103,"ENTREZID"
1495,"ENTREZID",1586,"ENTREZID"
805,"ENTREZID",843,"ENTREZID"
1442,"ENTREZID",2224,"ENTREZID"
51,"ENTREZID",955,"ENTREZID"
182,"ENTREZID",2248,"ENTREZID"
652,"ENTREZID",1579,"ENTREZID"
443,"ENTREZID",669,"ENTREZID"
102,"ENTREZID",2027,"ENTREZID"
177,"ENTREZID",1154,"ENTREZID"
