"base_gene_src","base_id_src","base_gene_dest","base_id_dest"
"15","ENTREZID","7534","ENTREZID"
"31","ENTREZID","57016","ENTREZID"
"31","ENTREZID","5563","ENTREZID"
"60","ENTREZID","71","ENTREZID"
"60","ENTREZID","867","ENTREZID"
"60","ENTREZID","4609","ENTREZID"
"60","ENTREZID","653361","ENTREZID"
"60","ENTREZID","5216","ENTREZID"
"60","ENTREZID","9051","ENTREZID"
"60","ENTREZID","5880","ENTREZID"
"60","ENTREZID","8607","ENTREZID"
"71","ENTREZID","999","ENTREZID"
"71","ENTREZID","1500","ENTREZID"
"71","ENTREZID","5217","ENTREZID"
"71","ENTREZID","8607","ENTREZID"
"71","ENTREZID","6487","ENTREZID"
"90","ENTREZID","91","ENTREZID"
"90","ENTREZID","655","ENTREZID"
"90","ENTREZID","659","ENTREZID"
"90","ENTREZID","2339","ENTREZID"
"90","ENTREZID","4086","ENTREZID"
"90","ENTREZID","4090","ENTREZID"
"90","ENTREZID","7048","ENTREZID"
"91","ENTREZID","92","ENTREZID"
"91","ENTREZID","93","ENTREZID"
"91","ENTREZID","659","ENTREZID"
"91","ENTREZID","3624","ENTREZID"
"91","ENTREZID","3625","ENTREZID"
"91","ENTREZID","4087","ENTREZID"
"91","ENTREZID","4088","ENTREZID"
"91","ENTREZID","4092","ENTREZID"
"91","ENTREZID","57154","ENTREZID"
"92","ENTREZID","654","ENTREZID"
"92","ENTREZID","655","ENTREZID"
"92","ENTREZID","3624","ENTREZID"
"92","ENTREZID","3625","ENTREZID"
"92","ENTREZID","9863","ENTREZID"
"93","ENTREZID","654","ENTREZID"
"93","ENTREZID","655","ENTREZID"
"93","ENTREZID","3624","ENTREZID"
"93","ENTREZID","3625","ENTREZID"
"100","ENTREZID","134","ENTREZID"
"100","ENTREZID","135","ENTREZID"
"100","ENTREZID","1812","ENTREZID"
"102","ENTREZID","1943","ENTREZID"
"102","ENTREZID","2885","ENTREZID"
"6868","ENTREZID","1739","ENTREZID"
"6868","ENTREZID","5594","ENTREZID"
"108","ENTREZID","111","ENTREZID"
"111","ENTREZID","2770","ENTREZID"
"128","ENTREZID","7157","ENTREZID"
"128","ENTREZID","7161","ENTREZID"
"134","ENTREZID","1812","ENTREZID"
"134","ENTREZID","2771","ENTREZID"
"134","ENTREZID","2911","ENTREZID"
"134","ENTREZID","5028","ENTREZID"
"135","ENTREZID","1813","ENTREZID"
"153","ENTREZID","408","ENTREZID"
"153","ENTREZID","1742","ENTREZID"
"154","ENTREZID","2885","ENTREZID"
"154","ENTREZID","2870","ENTREZID"
"154","ENTREZID","3760","ENTREZID"
"154","ENTREZID","3762","ENTREZID"
"154","ENTREZID","4193","ENTREZID"
"154","ENTREZID","4985","ENTREZID"
"154","ENTREZID","5530","ENTREZID"
"174","ENTREZID","1234","ENTREZID"
"178","ENTREZID","5563","ENTREZID"
"178","ENTREZID","5565","ENTREZID"
"185","ENTREZID","624","ENTREZID"
"185","ENTREZID","2869","ENTREZID"
"185","ENTREZID","5868","ENTREZID"
"191","ENTREZID","7161","ENTREZID"
"10768","ENTREZID","3708","ENTREZID"
"26289","ENTREZID","7358","ENTREZID"
"207","ENTREZID","572","ENTREZID"
"207","ENTREZID","673","ENTREZID"
"207","ENTREZID","11140","ENTREZID"
"207","ENTREZID","1027","ENTREZID"
"207","ENTREZID","1147","ENTREZID"
"207","ENTREZID","1387","ENTREZID"
"207","ENTREZID","2308","ENTREZID"
"207","ENTREZID","9846","ENTREZID"
"207","ENTREZID","2931","ENTREZID"
"207","ENTREZID","2932","ENTREZID"
"207","ENTREZID","8841","ENTREZID"
"207","ENTREZID","3320","ENTREZID"
"207","ENTREZID","3315","ENTREZID"
"207","ENTREZID","3551","ENTREZID"
"207","ENTREZID","3667","ENTREZID"
"207","ENTREZID","6416","ENTREZID"
"207","ENTREZID","4296","ENTREZID"
"207","ENTREZID","9479","ENTREZID"
"207","ENTREZID","9261","ENTREZID"
"207","ENTREZID","4193","ENTREZID"
"207","ENTREZID","9612","ENTREZID"
"207","ENTREZID","4771","ENTREZID"
"207","ENTREZID","4851","ENTREZID"
"207","ENTREZID","3164","ENTREZID"
"207","ENTREZID","5058","ENTREZID"
"207","ENTREZID","56924","ENTREZID"
"207","ENTREZID","5170","ENTREZID"
"207","ENTREZID","8554","ENTREZID"
"207","ENTREZID","9063","ENTREZID"
"207","ENTREZID","5894","ENTREZID"
"207","ENTREZID","6198","ENTREZID"
"207","ENTREZID","4087","ENTREZID"
"207","ENTREZID","4088","ENTREZID"
"207","ENTREZID","4089","ENTREZID"
"207","ENTREZID","4092","ENTREZID"
"207","ENTREZID","9623","ENTREZID"
"207","ENTREZID","117145","ENTREZID"
"207","ENTREZID","7248","ENTREZID"
"207","ENTREZID","7249","ENTREZID"
"207","ENTREZID","7534","ENTREZID"
"208","ENTREZID","1147","ENTREZID"
"208","ENTREZID","2932","ENTREZID"
"208","ENTREZID","9623","ENTREZID"
"226","ENTREZID","529","ENTREZID"
"226","ENTREZID","1956","ENTREZID"
"226","ENTREZID","5338","ENTREZID"
"230","ENTREZID","529","ENTREZID"
"239","ENTREZID","3691","ENTREZID"
"284","ENTREZID","7010","ENTREZID"
"285","ENTREZID","7010","ENTREZID"
"51378","ENTREZID","7010","ENTREZID"
"317","ENTREZID","841","ENTREZID"
"317","ENTREZID","54205","ENTREZID"
"317","ENTREZID","3320","ENTREZID"
"317","ENTREZID","22861","ENTREZID"
"324","ENTREZID","8313","ENTREZID"
"324","ENTREZID","1387","ENTREZID"
"324","ENTREZID","1452","ENTREZID"
"324","ENTREZID","1457","ENTREZID"
"324","ENTREZID","1487","ENTREZID"
"324","ENTREZID","1495","ENTREZID"
"324","ENTREZID","2932","ENTREZID"
"324","ENTREZID","3909","ENTREZID"
"324","ENTREZID","5525","ENTREZID"
"324","ENTREZID","2810","ENTREZID"
"324","ENTREZID","6477","ENTREZID"
"10297","ENTREZID","8313","ENTREZID"
"10297","ENTREZID","999","ENTREZID"
"353","ENTREZID","7428","ENTREZID"
"374","ENTREZID","1956","ENTREZID"
"375","ENTREZID","1131","ENTREZID"
"375","ENTREZID","4988","ENTREZID"
"375","ENTREZID","5337","ENTREZID"
"375","ENTREZID","5338","ENTREZID"
"375","ENTREZID","5898","ENTREZID"
"382","ENTREZID","408","ENTREZID"
"382","ENTREZID","409","ENTREZID"
"382","ENTREZID","1131","ENTREZID"
"382","ENTREZID","1956","ENTREZID"
"382","ENTREZID","2618","ENTREZID"
"382","ENTREZID","23396","ENTREZID"
"382","ENTREZID","5337","ENTREZID"
"382","ENTREZID","5898","ENTREZID"
"396","ENTREZID","637","ENTREZID"
"396","ENTREZID","843","ENTREZID"
"396","ENTREZID","841","ENTREZID"
"396","ENTREZID","1027","ENTREZID"
"396","ENTREZID","356","ENTREZID"
"396","ENTREZID","5599","ENTREZID"
"396","ENTREZID","5880","ENTREZID"
"396","ENTREZID","387","ENTREZID"
"396","ENTREZID","7132","ENTREZID"
"397","ENTREZID","8452","ENTREZID"
"397","ENTREZID","5880","ENTREZID"
"397","ENTREZID","7409","ENTREZID"
"405","ENTREZID","3091","ENTREZID"
"405","ENTREZID","3320","ENTREZID"
"405","ENTREZID","10499","ENTREZID"
"405","ENTREZID","10728","ENTREZID"
"405","ENTREZID","6667","ENTREZID"
"408","ENTREZID","409","ENTREZID"
"408","ENTREZID","1234","ENTREZID"
"408","ENTREZID","1445","ENTREZID"
"408","ENTREZID","1457","ENTREZID"
"408","ENTREZID","1856","ENTREZID"
"408","ENTREZID","27232","ENTREZID"
"408","ENTREZID","83737","ENTREZID"
"408","ENTREZID","3716","ENTREZID"
"408","ENTREZID","3725","ENTREZID"
"408","ENTREZID","3795","ENTREZID"
"408","ENTREZID","5602","ENTREZID"
"408","ENTREZID","4193","ENTREZID"
"408","ENTREZID","4985","ENTREZID"
"409","ENTREZID","83737","ENTREZID"
"409","ENTREZID","6416","ENTREZID"
"409","ENTREZID","5594","ENTREZID"
"409","ENTREZID","5602","ENTREZID"
"409","ENTREZID","5595","ENTREZID"
"409","ENTREZID","4193","ENTREZID"
"409","ENTREZID","4985","ENTREZID"
"409","ENTREZID","5724","ENTREZID"
"409","ENTREZID","5878","ENTREZID"
"435","ENTREZID","5859","ENTREZID"
"440","ENTREZID","51422","ENTREZID"
"1386","ENTREZID","472","ENTREZID"
"1386","ENTREZID","1387","ENTREZID"
"1386","ENTREZID","1457","ENTREZID"
"1386","ENTREZID","1459","ENTREZID"
"1386","ENTREZID","2353","ENTREZID"
"1386","ENTREZID","3725","ENTREZID"
"1386","ENTREZID","5594","ENTREZID"
"1386","ENTREZID","5599","ENTREZID"
"1386","ENTREZID","4088","ENTREZID"
"1386","ENTREZID","4089","ENTREZID"
"468","ENTREZID","1387","ENTREZID"
"468","ENTREZID","9568","ENTREZID"
"468","ENTREZID","3725","ENTREZID"
"468","ENTREZID","5970","ENTREZID"
"9140","ENTREZID","9474","ENTREZID"
"9140","ENTREZID","5747","ENTREZID"
"472","ENTREZID","545","ENTREZID"
"472","ENTREZID","1111","ENTREZID"
"472","ENTREZID","1385","ENTREZID"
"472","ENTREZID","1978","ENTREZID"
"472","ENTREZID","2309","ENTREZID"
"472","ENTREZID","5469","ENTREZID"
"472","ENTREZID","5805","ENTREZID"
"472","ENTREZID","6009","ENTREZID"
"472","ENTREZID","50484","ENTREZID"
"472","ENTREZID","6720","ENTREZID"
"472","ENTREZID","9894","ENTREZID"
"472","ENTREZID","7157","ENTREZID"
"472","ENTREZID","7428","ENTREZID"
"481","ENTREZID","5348","ENTREZID"
"491","ENTREZID","1739","ENTREZID"
"491","ENTREZID","1740","ENTREZID"
